Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2025-06-26,Hyperspace,5.11a,"Blew up wild country .1 and onsight on the psychopath pitch. The pressure chamber is wild.",https://www.mountainproject.com/route/106279399/hyperspace,7,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Snow Creek Area > Snow Creek Wall",3.7,-1,Lead,Fell/Hung,Trad,,800,4600
2025-06-25,"Fairies Wear Boots",5.11,"Top crux ",https://www.mountainproject.com/route/111981539/fairies-wear-boots,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Cheeks > (2) Lower Cheeks",3.8,-1,Lead,Fell/Hung,Trad,,,5000
2025-06-25,"Blame it on Cain",5.11b,"This thing was one of those classic dirty 11b.",https://www.mountainproject.com/route/108124411/blame-it-on-cain,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Upper Wall's Lower Tier and Trail > Pressure Drop Wall",3.2,4,Lead,Fell/Hung,"Trad, TR",,,4900
2025-06-25,"Pressure Drop",5.11a,"First send of the year",https://www.mountainproject.com/route/106436379/pressure-drop,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Upper Wall's Lower Tier and Trail > Pressure Drop Wall",3.8,-1,Lead,Redpoint,"Trad, TR",,70,4600
2025-05-09,"Coffee and Cornflakes",5.10a,,https://www.mountainproject.com/route/105741869/coffee-and-cornflakes,1,"Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - West",2.8,-1,Lead,Flash,Sport,,80,2600
2025-05-08,"Private Idaho",5.9,,https://www.mountainproject.com/route/105740984/private-idaho,1,"Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - West",3.1,-1,Lead,Redpoint,Trad,,90,2400
2025-05-07,Colossus,5.10c,,https://www.mountainproject.com/route/105741866/colossus,1,"Idaho > South Idaho > City of Rocks > Bath Rock > Bath Rock - West",3.6,-1,Lead,Onsight,Sport,,80,3200
2025-05-06,"Swedish Chest Thrust",5.10c,,https://www.mountainproject.com/route/106003441/swedish-chest-thrust,1,"Idaho > East Idaho > Darby Canyon",2.3,-1,Lead,Onsight,Sport,,50,3200
2025-05-06,Samsonite,5.9,,https://www.mountainproject.com/route/113041333/samsonite,1,"Idaho > East Idaho > Darby Canyon",2.1,-1,Lead,Onsight,Sport,,40,2400
2025-05-06,"Look Ma, No Hands",5.10a/b,,https://www.mountainproject.com/route/117291629/look-ma-no-hands,1,"Idaho > East Idaho > Darby Canyon",3.0,-1,Lead,Onsight,Sport,,40,2800
2025-05-04,"Tent Peg",5.7,"First pin! ",https://www.mountainproject.com/route/105714968/tent-peg,1,"South Dakota > Custer State Park > Tenpins/Switchbacks > Tent Peg",3.0,-1,Lead,Onsight,Trad,,60,1800
2025-05-04,Cerberus,5.8,Rad,https://www.mountainproject.com/route/105714761/cerberus,1,"South Dakota > Custer State Park > Tenpins/Switchbacks > Tricouni Nail/Cerberus",3.8,-1,Follow,,Trad,,70,2100
2025-05-04,Phallus,5.8,"Rad line. ",https://www.mountainproject.com/route/112116283/phallus,2,"South Dakota > Custer State Park > Tenpins/Switchbacks > Phallus",3.6,-1,Follow,,Trad,,,2100
2025-05-04,"On Little Cat Feet",5.9,"Slipped at the crux.",https://www.mountainproject.com/route/105714884/on-little-cat-feet,1,"South Dakota > Custer State Park > Tenpins/Switchbacks > Sandberg Peak",3.0,-1,Lead,Fell/Hung,Trad,,60,2400
